"","id","INSTN","Plant_Unif","Plant_Vigor","FLOWERING","PLAHE","SNPP","Leng_Stolon","Tuber_Apper","Tub_Unif","Tub_Size","MTWP","TTYA","ATW","AVDM","APGL","FeDW","ZnDW"
"1",1,"Ccompis",6.33333333333333,6.33333333333333,5.66666666666667,86.1333333333333,5.13333333333333,3,3,3.66666666666667,4.33333333333333,11.48,22.1283661829471,47.5937929630501,25.4623842234159,0.08443,10.167369335658,12.410933014042
"2",2,"CIP312507.311",6,7,2.33333333333333,87.7333333333333,6.2,5.66666666666667,3.66666666666667,4.33333333333333,5,19.6866666666667,41.2356758467869,65.2394748146708,23.3087275617642,0.09336,14.2661133414802,12.9683696296256
"3",3,"CIP312507.312",6,7,5,91.5333333333333,5.23333333333333,4.33333333333333,6.33333333333333,7,5,28.8133333333333,39.6934073074424,54.7015614267293,24.3069719085327,0.0535275,14.4086829271872,13.0910349027706
"4",4,"CIP312609.247",4.33333333333333,5,6.33333333333333,75.6333333333333,6.16666666666667,3,5,5,6.33333333333333,24.08,37.9134748783871,64.9141595763074,21.7183380830905,0.0716225,13.7528156324603,12.7286740261349
"5",5,"CIP312621.069",4.33333333333333,4.33333333333333,5,73.8333333333333,5.7,4.33333333333333,4.33333333333333,3,4.33333333333333,13.9866666666667,25.8846153846154,39.7143626610666,23.8990557156374,0.0189825,20.24189107645,17.6076331405658
"6",6,"CIP312621.097",4.33333333333333,3,0.333333333333333,59.2666666666667,4.96666666666667,3,5,5.66666666666667,5,24.6133333333333,40.7226970560303,51.1123061816244,24.1416293442252,0.0326125,18.7499595331058,16.8799051565122
"7",7,"CIP312633.294",5.66666666666667,6.33333333333333,7,82.2666666666667,4.63333333333333,3,5,5.66666666666667,4.33333333333333,22.54,31.0802469135802,51.9224267302769,27.2902590738768,0.0502375,18.1162449769834,17.0764839013151
"8",8,"CIP312637.001",3.66666666666667,3.66666666666667,5,64.7,5.53333333333333,3,7,6.33333333333333,6.33333333333333,23.4666666666667,35.7441895336632,66.2466120024575,25.3497623855346,0.0312025,20.7172306336706,16.6943551260775
"9",9,"CIP312637.089",5,5,5.66666666666667,74.2,5.8,3,5.66666666666667,5,5.66666666666667,20.52,28.984022258876,55.0902991226681,24.0779151397094,0.0591675,23.6707542729863,20.3006516317512
"10",10,"CIP312682.042",3.66666666666667,2.33333333333333,0.333333333333333,51.7666666666667,5.16666666666667,2.33333333333333,7.66666666666667,7,5,33.8066666666667,44.1511554289332,65.6974954754697,20.6157068169739,0.01769,21.0879945474106,19.5161947190331
"11",11,"CIP312686.019",5.66666666666667,6.33333333333333,7,84.5666666666667,5.4,5,5,5.66666666666667,5,22.1466666666667,35.9029756251978,63.661896080529,22.9563294959222,0.027795,19.2619980020025,13.6733004404026
"12",12,"CIP312721.036",5,4.33333333333333,5,78.1,6.33333333333333,3.66666666666667,7,5.66666666666667,5,25.66,35.3717127704055,55.7741629818735,24.9962234379749,0.1087525,14.1644949972917,15.420591222439
"13",13,"CIP312721.038",4.33333333333333,5.66666666666667,5,80.9666666666667,5.16666666666667,3,5,5.66666666666667,5,17.1266666666667,22.5962329851219,60.848427625076,22.5862510778882,0.050825,20.6718455776301,16.4409589220532
"14",14,"CIP312721.074",4.33333333333333,5.66666666666667,5,80.3666666666667,4.53333333333333,5,6.33333333333333,5,5.66666666666667,20.4133333333333,27.9647123506772,65.3869718783531,24.4388406593571,0.0497675,20.7395399860534,16.0331863365709
"15",15,"CIP312721.163",6.33333333333333,5.66666666666667,5,78.9,4.33333333333333,3,7,5.66666666666667,6.33333333333333,20.38,34.261445431036,60.2734378223773,26.2951359764079,0.06921375,17.6934288057894,13.4723611111791
"16",16,"CIP312721.245",4.33333333333333,6.33333333333333,7,83.9666666666667,5.7,4.33333333333333,5.66666666666667,3.66666666666667,5,18.93,31.0728869895536,37.4169878301774,25.154111192285,0.09571,22.1290757756934,17.2385947576568
"17",17,"CIP312725.024",5.66666666666667,6,5.66666666666667,82.6,5.9,5.66666666666667,5,4.33333333333333,5,20.14,25.1481481481481,49.8332173594927,21.389215400185,0.0652775,25.430652637063,19.1180563492326
"18",18,"CIP312725.047",4,4.33333333333333,7,80.8,6.36666666666667,5,7,6.33333333333333,5,30.1066666666667,38.119233268356,48.2259436866263,22.7900770770003,0.0375475,25.8510155608787,17.0976430973167
"19",19,"CIP312725.050",6,5,7,77.8,5.6,3.66666666666667,5,5.66666666666667,4.33333333333333,22.26,30.0632298965632,57.0449835280169,20.7701431564423,0.10746,19.1750602165885,15.4311849443081
"20",20,"CIP312725.067",3.66666666666667,5.66666666666667,5,71.0666666666667,5.43333333333333,3.66666666666667,7,6.33333333333333,5.66666666666667,32.96,40.3684710351377,55.4959301605848,22.3628843590764,0.08349,19.1155162343044,16.5815168709432
"21",21,"CIP312735.105",5.66666666666667,5,2.33333333333333,81.6666666666667,5.26666666666667,3,4.33333333333333,3.66666666666667,3.66666666666667,9.62666666666667,24.4317905399777,33.5707802713725,24.3398534711879,0.0777325,22.3483785754174,15.8329923783759
"22",22,"CIP312747.056",6.33333333333333,6.33333333333333,6.33333333333333,85.8,5.53333333333333,2.33333333333333,6.33333333333333,5.66666666666667,5.66666666666667,31.64,44.9342676009342,65.5945787398886,23.4339576061546,0.0290875,17.9774606865696,17.61490109607
"23",23,"CIP312751.021",5.66666666666667,3.66666666666667,1.33333333333333,63.5666666666667,6.33333333333333,3,7.66666666666667,7,5.66666666666667,44.6333333333333,62.1184786937474,59.4294764753979,21.7202277156887,0.065395,19.7987308563376,17.9222735151626
"24",24,"CIP312751.025",4.33333333333333,5,5,75.4333333333333,5.4,4.33333333333333,9,7,6.33333333333333,49.1,57.522837595077,91.848203297467,24.4663140599884,0.0671575,17.3039123131585,15.2103637447947
"25",25,"CIP312763.051",6.33333333333333,7.66666666666667,7,89.0333333333333,6.3,4.33333333333333,6.33333333333333,5.66666666666667,3.66666666666667,21.28,32.1172839506172,34.1043252432427,23.1217600066189,0.220495,17.9246471382036,16.7266871654024
"26",26,"CIP312763.441",6.33333333333333,5,7,75.6,5.86666666666667,3,3.66666666666667,5,4.33333333333333,17.9133333333333,27.820987654321,35.4190800553772,21.7639749974077,0.0692725,16.0283087025728,18.1405383344991
"27",27,"CIP312764.006",7,7.66666666666667,5,73.1,6.13333333333333,3.66666666666667,7,7,3,25.2866666666667,44.3801836024058,23.3942852636645,18.5150785430286,0.1005275,20.3508154731002,17.6598364766403
"28",28,"CIP312767.014",7,7,7,83.5,6.6,5,6.33333333333333,5,5.66666666666667,26.4733333333333,43.4300411522633,58.9665304282815,20.5442213596013,0.06187,23.814423670785,19.4431344605472
"29",29,"CIP380389.1",5.66666666666667,4.33333333333333,0,66.7,5.63333333333333,3,6.33333333333333,5,5.66666666666667,26.5733333333333,42.5387780943336,49.1484215248256,22.0894837374807,0.202165,14.5587708027417,14.1808173863837
"30",30,"CIP391691.96",3.66666666666667,5,5,79.8666666666667,5.26666666666667,3.66666666666667,7.66666666666667,7,7,48.14,58.5585585585585,107.620868161336,20.9081779024311,0.027795,16.1586125242375,17.3876451850566
"31",31,"CIP720064",6.33333333333333,8.33333333333333,6.33333333333333,103.766666666667,5.53333333333333,6.33333333333333,8.33333333333333,5.66666666666667,7,43.09,60.4028964862297,102.499079103839,19.5984394095305,0.349745,13.3629531047893,13.1667218859461
